Column,word,desc,time,lang,pos
787,cuatro,"cuatro
                  
                  
                  (Cardinal Number)
                  ""four""
               
                    11th cent. From Vulgar Latin quatro, from Latin quattuor 'id.'
                    From Proto-Italic *kwetwōr 'id.' From Proto-Indo-European *kwétu̯ores 'id.' 
                 

Indo-European




Romance
Asturian cuatro, Portuguese quatro, Galician cuatro, Catalan quatre, French qatre, Italian quattro, Aromanian patru, Romanian patru, Sardinian batro


Italic
Oscan pettiur


Celtic
Gaulish petuarios ""fourth,"" Old Irish cethair, Old Welsh petguar, Old Breton petguar, Cornish peswar


Germanic
Gothic fidwar, Old Norse fjórir, Old High German fior, Old Saxon fiuwar, Old English fēower (English four)


Balto-Slavic
Old Church Slavonic četyre, Lithuanian keturì


Hellenic
Ancient Greek τέτορες (tétores)


Armenian
Armenian č'ork'


Indo-Iranian
Sanskrit catvā́ras, Young Avestan caθβārō


Tocharian
A śtwar, B śtwer

 
Indo-European

 
Romance
Asturian cuatro, Portuguese quatro, Galician cuatro, Catalan quatre, French qatre, Italian quattro, Aromanian patru, Romanian patru, Sardinian batro
 
Italic
Oscan pettiur
 
Celtic
Gaulish petuarios ""fourth,"" Old Irish cethair, Old Welsh petguar, Old Breton petguar, Cornish peswar
 
Germanic
Gothic fidwar, Old Norse fjórir, Old High German fior, Old Saxon fiuwar, Old English fēower (English four)
 
Balto-Slavic
Old Church Slavonic četyre, Lithuanian keturì
 
Hellenic
Ancient Greek τέτορες (tétores)
 
Armenian
Armenian č'ork'
 
Indo-Iranian
Sanskrit catvā́ras, Young Avestan caθβārō
 
Tocharian
A śtwar, B śtwer",11th cent.,Vulgar Latin,No POS found
788,Cuba (1),"Cuba (1)
                  f.
                  
                  (Toponym)
                  ""Cuba""
               
                    Borrowed from Taino cubao ""fertile land.""",No Time Found,Taino,No POS found
789,cuba (2),"cuba (2)
                  f.
                  
                  (Noun)
                  ""tub""
               
                    11th cent. Often used to refer to a vat of alcohol or a cask of wine and thus, by extension of a metaphor, to a drinker's paunch. From Latin cupa 'id.'
                    Borrowed from a non-Indo-European language with a root structure similar (but not exact) to *kūpp- ""vessel."" See also copa.
                 
                  Also the origin of Cubas de la Sagra in Madrid and Cuba, the name of a town in Alentejo and another three in Aragon, and Cubas, the name of a town in Santander and another in Cuenca.
                 

Indo-European




Romance
Portuguese cuba, Italian cupo, French cuve


Germanic
Old Icelandic húfr ""hull,"" Old English hȳf ""beehive"" (English hive)


Hellenic
Ancient Greek κύπη (kype) ""gap""


Indo-Iranian
Sanskrit kū́pa-

 
Indo-European

 
Romance
Portuguese cuba, Italian cupo, French cuve
 
Germanic
Old Icelandic húfr ""hull,"" Old English hȳf ""beehive"" (English hive)
 
Hellenic
Ancient Greek κύπη (kype) ""gap""
 
Indo-Iranian
Sanskrit kū́pa-",11th cent.,Latin,Noun
790,cuchillo,"cuchillo
                  m.
                  
                  (Noun)
                  ""knife""
               
                    13th cent. From Latin cultellus ""little knife."" From culter ""knife.""
                    From Proto-Italic *kol-tro- 'id.' From Proto-Indo-European *(s)kolh2/3-tro- 'id.' From the root *(s)kelh2/3- ""to split.""
                 

Indo-European




Romance
Asturian contra, Portuguese contra, Galician contra, Catalan contra, Italian contro, Romanian către


Balto-Slavic
Lithuanian skìlti ""to strike fire""


Hellenic
Ancient Greek σκάλλω (skállo) ""I hoe""

 
Indo-European

 
Romance
Asturian contra, Portuguese contra, Galician contra, Catalan contra, Italian contro, Romanian către
 
Balto-Slavic
Lithuanian skìlti ""to strike fire""
 
Hellenic
Ancient Greek σκάλλω (skállo) ""I hoe""",13th cent.,Latin,Noun
791,cuello,"cuello
                  m.
                  
                  (Noun)
                  ""neck""
               
                    12th cent. From Latin collum 'id.,' though originally collus.
                    From Proto-Italic *kol-no- 'id.' From Proto-Indo-European *kwol-no- ""neck,"" but literally ""thing that turns."" From the root *kwel- ""to turn.""
                 

Indo-European




Romance
Asturian cuellu, Portuguese colo, Catalan coll, French cou, Italian collo, Sardinian coddu, codhu


Germanic
Gothic hals, Old Norse hals, Old High German hals, Old English heals


Balto-Slavic
Lithuanian kãklas, Latvian kakls

 
Indo-European

 
Romance
Asturian cuellu, Portuguese colo, Catalan coll, French cou, Italian collo, Sardinian coddu, codhu
 
Germanic
Gothic hals, Old Norse hals, Old High German hals, Old English heals
 
Balto-Slavic
Lithuanian kãklas, Latvian kakls",12th cent.,Latin,Noun
792,cuenca (1),"cuenca (1)
                  f.
                  
                  (Noun)
                  ""bowl,"" ""eye socket""
               
                    11th cent. From Latin concha ""shell."" Borrowed from Ancient Greek κόγχη (kógkhe) ""mussel.""
                    Borrowed from another language at a very ancient period (compare Sanskrit śaṅkhá- ""mussel"").
                 

Indo-European




Romance
Asturian cuenca, Portuguese conca, Galician conca, French conque, Italian conca

 
Indo-European

 
Romance
Asturian cuenca, Portuguese conca, Galician conca, French conque, Italian conca",11th cent.,Latin,Noun
793,Cuenca (2),"Cuenca (2)
                  f.
                  
                  (Toponym)
                  City and region in Spain. Capital of Azuay.
               
                    From Latin concha ""conch"" (see cuenca (1). Historically, the word cuenca could also mean ""area surrounded by mountain peaks"" (much like the rings of horns around the top of a conch), which is the semantic source of this name.
                    
                 

Indo-European




Romance
Asturian cuenca, Portuguese conca, Galician conca, French conche, Italian conca

 
Indo-European

 
Romance
Asturian cuenca, Portuguese conca, Galician conca, French conche, Italian conca",No Time Found,Latin,No POS found
795,cuento (1),"cuento (1)
                  m.
                  
                  (Noun)
                  ""story""
               
                    Early 13th cent. From Latin computus ""calculation."" See cuenta.
                    
                 

Indo-European




Romance
Asturian cuentu, Portuguese conto, cômputo, Catalan compte, comte, French compte, Italian conto, compito Romanian cumpăt

 
Indo-European

 
Romance
Asturian cuentu, Portuguese conto, cômputo, Catalan compte, comte, French compte, Italian conto, compito Romanian cumpăt",13th cent.,Latin,Noun
796,cuento (2),"cuento (2)
                  m.
                  
                  (Noun)
                  ""metal band or tip of a pole, pike or scabbard""
               
                    14th cent. Earlier sense of ""cane"" is from 13th cent. From Latin contus ""pole."" Borrowed from Ancient Greek κοντός (kontós) 'id.' 
                    From Proto-Indo-European *ḱent- ""to sting."" See also centro.
                 

Indo-European




Germanic
Gothic handugs ""wise,"" Old Norse hǫndugr ""able,"" -hannr ""sharp,"" Old English hendig ""skillful"" (English handy), Old High German hantag ""pointed""


Balto-Slavic
Lithuanian sīts ""hunting spear""

 
Indo-European

 
Germanic
Gothic handugs ""wise,"" Old Norse hǫndugr ""able,"" -hannr ""sharp,"" Old English hendig ""skillful"" (English handy), Old High German hantag ""pointed""
 
Balto-Slavic
Lithuanian sīts ""hunting spear""",14th cent.,Latin,Noun
797,cuerno,"cuerno
                  m.
                  
                  (Noun)
                  ""horn""
               
                    10th cent. From Latin cornus 'id.'
                    From Proto-Italic *kornu- 'id.' From Proto-Indo-European *ḱr̥n-u̯-h1 ""two horns,"" the dual of *ḱer-n- ""horn."" From the root *ḱer- ""head"" (see cerebro).
                 
                  As a surname Cuerno, it originally referred to players of the wind instrument, the horn.
                 

Indo-European




Romance
Portuguese corniso, Catalan corneller, French cornouille, cornouiller, Italian corniolo, corniola, Romanian corn, coarnă


Italic
Latin centrum (whence centro)


Celtic
Galatian κάρνον (kárnon) ""trumpet,"" Gaulish καρνυξ (karnuks) 'id.,' Welsh carn ""hoof""


Germanic
Gothic haurn,"" Old Norse horn, Old High German horn, English horn


Balto-Slavic
Old Russian sъrna ""roe,"" Czech srna 'id.,' Polish sarna 'id.,' Lithuanian stìrna 'id.,' Latvian sirnas 'id.'


Indo-Iranian
Sanskrit śŕ̥ṅga-

 
Indo-European

 
Romance
Portuguese corniso, Catalan corneller, French cornouille, cornouiller, Italian corniolo, corniola, Romanian corn, coarnă
 
Italic
Latin centrum (whence centro)
 
Celtic
Galatian κάρνον (kárnon) ""trumpet,"" Gaulish καρνυξ (karnuks) 'id.,' Welsh carn ""hoof""
 
Germanic
Gothic haurn,"" Old Norse horn, Old High German horn, English horn
 
Balto-Slavic
Old Russian sъrna ""roe,"" Czech srna 'id.,' Polish sarna 'id.,' Lithuanian stìrna 'id.,' Latvian sirnas 'id.'
 
Indo-Iranian
Sanskrit śŕ̥ṅga-",10th cent.,Latin,Noun
798,cuerpo,"cuerpo
                  m.
                  
                  (Noun)
                  ""body""
               
                    10th cent. From Latin corpus 'id.'
                    From Proto-Italic *korp-os- 'id.' From Proto-Indo-European *ḱr̥p-os- 'id.'
                 

Indo-European




Romance
Asturian cuerpu, Portuguese corpo, Galician corpo, Catalan cos, French corps, Italian corpo, Romanian corp, Sardinian cólpus


Celtic
Middle Irish crí, Middle Welsh cryf ""stong,"" Middle Breton creff 'id.,' Old Cornish crif 'id.'


Germanic
Old High German href ""lap,"" Old English hrif ""womb,"" the second element in midriff


Indo-Iranian
Sanskrit kr̥p-ā́ ""appearance,"" Old Avestan kəhrpə̄m 'id.'

 
Indo-European

 
Romance
Asturian cuerpu, Portuguese corpo, Galician corpo, Catalan cos, French corps, Italian corpo, Romanian corp, Sardinian cólpus
 
Celtic
Middle Irish crí, Middle Welsh cryf ""stong,"" Middle Breton creff 'id.,' Old Cornish crif 'id.'
 
Germanic
Old High German href ""lap,"" Old English hrif ""womb,"" the second element in midriff
 
Indo-Iranian
Sanskrit kr̥p-ā́ ""appearance,"" Old Avestan kəhrpə̄m 'id.'
 
Basque
Basque gorputz ""body"" (borrowed from Latin)",10th cent.,Latin,Noun
799,cuesta (1),"cuesta (1)
                  f.
                  
                  (Noun)
                  (terrain) ""slope""
               
                    10th cent. From Latin costa ""rib,"" but also ""side.""
                    Of unknown origin.
                 
                  Also the origin of the surnames de la Cuesta, Lacuesta, and Cuestas.
                 

Indo-European




Romance
Asturian costa, costiella, Portuguese costa, costela, Galician costa, costela, Catalan costa, costella, French côte, Italian costa, costola, Aromanian coastã, Romanian coastă, Sardinian colta, costa

 
Indo-European

 
Romance
Asturian costa, costiella, Portuguese costa, costela, Galician costa, costela, Catalan costa, costella, French côte, Italian costa, costola, Aromanian coastã, Romanian coastă, Sardinian colta, costa",10th cent.,Latin,Noun
800,cuesta (2),"cuesta (2)
                  f.
                  
                  (Noun)
                  ""charitable request""
               
                    15th cent. From Vulgar Latin *quæsta 'id.' Derived from the verb quærere ""to desire"" (see querer).
                    
                 

Indo-European




Romance
Portuguese querer, Galician querer, French quérir, Italian chiedere, Aromanian tser, tsireari, Romanian cere, cerere, Sardinian chèrrere, chèrri

 
Indo-European

 
Romance
Portuguese querer, Galician querer, French quérir, Italian chiedere, Aromanian tser, tsireari, Romanian cere, cerere, Sardinian chèrrere, chèrri",15th cent.,Vulgar Latin,Noun
801,cuestión,"cuestión
                  f.
                  
                  (Noun)
                  ""question""
               
                    13th cent. From Latin quæstionem, accusative of quæstio ""inquiry."" Derived from the verb quærere ""to seek,"" ""to desire"" (see querer).
                    
                 

Indo-European




Romance
Portuguese questão, French question, Italian questione, Romanian chestie, chestiune

 
Indo-European

 
Romance
Portuguese questão, French question, Italian questione, Romanian chestie, chestiune",13th cent.,Latin,Noun
802,"cui, cuy","cui, cuy
                  m.
                  
                  (Noun)
                  ""guinea pig""
               
                    16th cent. Borrowed from Quechua quwi 'id.'",16th cent.,Quechua,Noun
804,cuidar,"cuidar
                  
                  
                  (Verb)
                  ""to care""
               
                    The modern sense of care is from the 16th cent. 12th cent. Old Spanish coidar originally meant ""to think."" From Latin cogitare ""to pay attention to,"" from co- ""with"" (see co-) and agitare ""to conduct,"" ""to do"" (see agitar).
                    
                 

Indo-European




Romance
Asturian cuidar, Portuguese cuidar, Galician coidar, Catalan cidar, French cuider, Italian coitare, Romanian cugetare

 
Indo-European

 
Romance
Asturian cuidar, Portuguese cuidar, Galician coidar, Catalan cidar, French cuider, Italian coitare, Romanian cugetare",16th cent.,Old Spanish,Verb
805,culo,"culo
                  m.
                  
                  (Noun)
                  ""buttocks,"" (obscene) ""asshole""
               
                    12th cent. From Latin culus 'id.'
                    From Proto-Italic *kūlo- ""back."" From Proto-Indo-European *ku̯H-lo- 'id.' The root *ku̯H- is unclear.
                 

Indo-European




Romance
Asturian culu, Portuguese cu, Galician cu, Catalan cul, French cul, Italian culo, Aromanian cur, Romanian cur, Sardinian cu(lu)


Celtic
Old Irish cúl ""back,"" Middle Welsh cil ""corner,"" Middle Breton quil ""back,"" Old Cornish chil ""cervix""

 
Indo-European

 
Romance
Asturian culu, Portuguese cu, Galician cu, Catalan cul, French cul, Italian culo, Aromanian cur, Romanian cur, Sardinian cu(lu)
 
Celtic
Old Irish cúl ""back,"" Middle Welsh cil ""corner,"" Middle Breton quil ""back,"" Old Cornish chil ""cervix""",12th cent.,Latin,Noun
806,-culo,"-culo
                  
                  
                  
                  Diminutive suffix.
               
                    From Latin -culum 'id.' An anaptytic vowel points to a pre-form *-clum.
                    From Proto-Italic *-klo- 'id.' (the *-o- was anaptytic here as well). From Proto-Indo-European *-tl- 'id.'
                 

Indo-European




Balto-Slavic
Old Church Slavonic -sl-, Russian -sl-, Czech -sl-


Hellenic
Ancient Greek -τλ- (tl)

 
Indo-European

 
Balto-Slavic
Old Church Slavonic -sl-, Russian -sl-, Czech -sl-
 
Hellenic
Ancient Greek -τλ- (tl)",No Time Found,Latin,No POS found
807,culpa,"culpa
                  f.
                  
                  (Noun)
                  ""blame,"" ""fault,"" ""wrongdoing""
               
                    13th cent. From Latin culpa 'id.'
                    From Proto-Italic *kolpā- 'id.' From Proto-Indo-European *ku̯olp-h2- 'id.' but literally ""wrong."" From *ku̯elp- ""to turn"" and individualizing suffix *-h2- (see -a).
                 

Indo-European




Romance
Asturian culpa, Portuguese culpa, Galician culpa, Catalan culpa, French coulpe, Italian colpa, Romanian culpă


Germanic
Old Norse hvalf ""concavity,"" Old English hwealf ""vault""


Balto-Slavic
Old Prussian po-quelbton ""kneeling""


Hellenic
Ancient Greek κόλπος (kólpos) ""chest,"" ""lap""

 
Indo-European

 
Romance
Asturian culpa, Portuguese culpa, Galician culpa, Catalan culpa, French coulpe, Italian colpa, Romanian culpă
 
Germanic
Old Norse hvalf ""concavity,"" Old English hwealf ""vault""
 
Balto-Slavic
Old Prussian po-quelbton ""kneeling""
 
Hellenic
Ancient Greek κόλπος (kólpos) ""chest,"" ""lap""",13th cent.,Latin,Noun
809,culpar,"culpar
                  
                  
                  (Verb)
                  ""to blame,"" ""to cast guilt""
               
                    13th cent. From Latin culpare 'id.,' a verb formed from the noun culpa.
                    
                 

Indo-European




Romance
Asturian culpar, Portuguese culpar, Catalan culpar

 
Indo-European

 
Romance
Asturian culpar, Portuguese culpar, Catalan culpar",13th cent.,Latin,Verb
810,culto (1),"culto (1)
                  m.
                  
                  (Noun)
                  ""cult""
               
                    15th cent. From Latin cultus ""cultivated,"" ""protected;"" from colere ""to protect,"" ""to cultivate.""
                    From Proto-Italic *kwel-e/o- 'id.' ""to inhabit,"" ""to honor."" From Proto-Indo-European *kwelh1-e/o- ""to circle.""
                 

Indo-European




Italic
Umbrian ařpeltu ""honored"" (?), used in reference to a priestly dance


Albanian
Albanian sjell ""bring""


Balto-Slavic
Old Church Slavonic kolĕni ""knee,"" Lithuanian kelỹs 'id.'


Hellenic
Ancient Greek πέλειν (pélein) ""to go,"" ""to become""


Indo-Iranian
Sanskrit cárati ""moves,"" Avestan cara- ""to move""

 
Indo-European

 
Italic
Umbrian ařpeltu ""honored"" (?), used in reference to a priestly dance
 
Albanian
Albanian sjell ""bring""
 
Balto-Slavic
Old Church Slavonic kolĕni ""knee,"" Lithuanian kelỹs 'id.'
 
Hellenic
Ancient Greek πέλειν (pélein) ""to go,"" ""to become""
 
Indo-Iranian
Sanskrit cárati ""moves,"" Avestan cara- ""to move""",15th cent.,Latin,Noun
811,culto (2),"culto (2)
                  
                  
                  (Adjective)
                  ""cultured""
               
                    17th cent. From Latin cultus ""cultivated,"" ""protected;"" from colere ""to protect,"" ""to cultivate.""
                    From Proto-Italic *kwel-e/o- 'id.' ""to inhabit,"" ""to honor."" From Proto-Indo-European *kwelh1-e/o- ""to circle.""
                 

Indo-European




Romance
Italian colto


Italic
Umbrian ařpeltu ""honored"" (?), used in reference to a priestly dance


Albanian
Albanian sjell ""bring""


Balto-Slavic
Old Church Slavonic kolĕni ""knee,"" Lithuanian kelỹs 'id.'


Hellenic
Ancient Greek πέλειν (pélein) ""to go,"" ""to become""


Indo-Iranian
Sanskrit cárati ""moves,"" Avestan cara- ""to move""

 
Indo-European

 
Romance
Italian colto
 
Italic
Umbrian ařpeltu ""honored"" (?), used in reference to a priestly dance
 
Albanian
Albanian sjell ""bring""
 
Balto-Slavic
Old Church Slavonic kolĕni ""knee,"" Lithuanian kelỹs 'id.'
 
Hellenic
Ancient Greek πέλειν (pélein) ""to go,"" ""to become""
 
Indo-Iranian
Sanskrit cárati ""moves,"" Avestan cara- ""to move""",17th cent.,Latin,Adjective
813,cumplir,"cumplir
                  
                  
                  (Verb)
                  ""to complete""
               
                    12th cent. From Latin complere ""to complete"" but originally ""to completely fill up."" From com- ""within"" (see co-) and plere ""to fill"" (see lleno).
                    
                 

Indo-European




Romance
Asturian cumplir, Catalan complir, Old French complir

 
Indo-European

 
Romance
Asturian cumplir, Catalan complir, Old French complir",12th cent.,Latin,Verb
814,cura (1),"cura (1)
                  m.
                  
                  (Noun)
                  ""priest""
               
                    14th cent. A semantic extension of Latin cura ""cure,"" but also (rarely) ""caretaker."" See cura (2).
                    
                 

Indo-European




Romance
Portuguese cura, Catalan: cura, French: cure, Italian: cura, Romanian cură

 
Indo-European

 
Romance
Portuguese cura, Catalan: cura, French: cure, Italian: cura, Romanian cură",14th cent.,Latin,Noun
815,cura (2),"cura (2)
                  f.
                  
                  (Noun)
                  ""cure""
               
                    13th cent. From Latin cura ""cure."" 
                    From Proto-Italic *kwois-ā- ""care."" From late Proto-Indo-European *kwoi̯s-eh2 'id.' (the o-grade with individualizing suffix *-eh2-, see -a). From Proto-Indo-European *kwei̯s- ""to pay attention to.""
                 

Indo-European




Romance
Portuguese cura, Catalan: cura, French: cure, Italian: cura, Romanian cură


Italic
Umbrian kuraia ""provides,"" Paelignian coisatens


Celtic
Gaulish pissíiumí ""I will see,"" Old Irish ad-cí ""to see""


Indo-Iranian
Old Avestan cōišt ""support,"" Avestan t̃kaēša- ""teacher""

 
Indo-European

 
Romance
Portuguese cura, Catalan: cura, French: cure, Italian: cura, Romanian cură
 
Italic
Umbrian kuraia ""provides,"" Paelignian coisatens
 
Celtic
Gaulish pissíiumí ""I will see,"" Old Irish ad-cí ""to see""
 
Indo-Iranian
Old Avestan cōišt ""support,"" Avestan t̃kaēša- ""teacher""",13th cent.,Latin,Noun
817,curación,"curación
                  f.
                  
                  (Noun)
                  ""treatment""
               
                    From Latin curationem, accusative of curatio 'id.' From curare ""to cure"" (see curar).",No Time Found,Latin,Noun
824,curar,"curar
                  
                  
                  (Verb)
                  ""to cure,"" ""to treat,"" ""to care for""
               
                    12th cent. Old Spanish curiar. From Latin curare 'id.' (Old Latin courare; Archaic Latin coira-). From the noun cura ""care"" (see cura (2)).
                    
                 

Indo-European




Romance
 Portuguese curar, Galician curar, Catalan curar, French curer, Italian curare, Aromanian cur, Romanian cura, Sardinian curài, curare

 
Indo-European

 
Romance
 Portuguese curar, Galician curar, Catalan curar, French curer, Italian curare, Aromanian cur, Romanian cura, Sardinian curài, curare",12th cent.,Old Spanish,Verb
825,curso,"curso
                  m.
                  
                  (Noun)
                  ""course""
               
                    13th cent. Old Spanish corso, curso. A learned borrowing from Latin cursus ""way,"" ""course."" The native word in Spanish is coso (1).
                    
                 

Indo-European




Romance
Portuguese corso, cosso, French cours, Italian corso, Romanian curs


Celtic
Gaulish Καρρόδουνον (karródounon) ""wagontown,"" Old Irish carr, Middle Welsh carr, Old Breton carr, Cornish car


Germanic
Faroese hurra ""to take off,"" Norwegian hurre ""to turn,"" Middle High German hurren ""to dash,"" English to hurry

 
Indo-European

 
Romance
Portuguese corso, cosso, French cours, Italian corso, Romanian curs
 
Celtic
Gaulish Καρρόδουνον (karródounon) ""wagontown,"" Old Irish carr, Middle Welsh carr, Old Breton carr, Cornish car
 
Germanic
Faroese hurra ""to take off,"" Norwegian hurre ""to turn,"" Middle High German hurren ""to dash,"" English to hurry",13th cent.,Old Spanish,Noun
826,curvo,"curvo
                  
                  
                  (Adjective)
                  ""curved""
               
                    From Latin curvus 'id.'
                    From Proto-Italic *kurwo- 'id.' From a pre-form *kur-u̯o- 'id.' that may represent a derivation from a root *keu̯-r- ""curve"" (?), but that is highly speculative. The word may be have been a European innovation.
                 
                  Also the origin of the surname Corvo and its derivative surnames Corvillo, Corvilla, Corvillón, and Corvaja.
                 

Indo-European




Romance
Asturian (dialects) curvu, Portuguese curvo, Galician curvo, Italian curvo


Celtic
Old Irish corr ""hooked,"" Middle Welsh cwrr 'id.'


Hellenic
Ancient Greek κυρτός (kurtós) ""convex""

 
Indo-European

 
Romance
Asturian (dialects) curvu, Portuguese curvo, Galician curvo, Italian curvo
 
Celtic
Old Irish corr ""hooked,"" Middle Welsh cwrr 'id.'
 
Hellenic
Ancient Greek κυρτός (kurtós) ""convex""",No Time Found,Latin,Adjective
827,cutir,"cutir
                  
                  
                  (Verb)
                  ""to strike""
               
                    From Latin quatere 'id.'
                    From Proto-Italic *kwat-i- 'id.' From Proto-Indo-European *(s)ku̯ot-i̯- 'id.'
                 

Indo-European




Germanic
Old Saxon skuddian ""to shake,"" Old High German scutten 'id.,' English to shudder


Balto-Slavic
Lithuanian kùsti ""to recover""

 
Indo-European

 
Germanic
Old Saxon skuddian ""to shake,"" Old High German scutten 'id.,' English to shudder
 
Balto-Slavic
Lithuanian kùsti ""to recover""",No Time Found,Latin,Verb
828,cuyo,"cuyo
                  
                  
                  (Personal Pronoun)
                  ""whose""
               
                    13th cent. From Latin cuius ""of whom"" (Archaic Latin quoius), genitive of qui ""who"" (see (see quién and (see qué).
                    From Proto-Italic *kwojjei 'id.' From a pre-form *kwosi̯os, a pre-Italic reformation of the old Proto-Indo-European genitive *kwoso 'id.'
                 

Indo-European




Romance
Portuguese cujo, Italian cui


Italic
Oscan púiiu, Paleo-Umbrian poíeí? (meaning unclear)


Hellenic
Ancient Greek ποῖος (poîos) ""what kind""

 
Indo-European

 
Romance
Portuguese cujo, Italian cui
 
Italic
Oscan púiiu, Paleo-Umbrian poíeí? (meaning unclear)
 
Hellenic
Ancient Greek ποῖος (poîos) ""what kind""",13th cent.,Latin,Pronoun
829,chico,"chico
                  
                  
                  (Adjective, Noun)
                  ""small;"" (masc.) ""boy,"" ""child;"" (fem.) ""girl""
               
                    12th cent. Perhaps from Latin ciccus ""nothing,"" earlier ""something worthless,"" but originally ""the thin membrane surrounding the grains of a pomegranate."" Presumably borrowed from an unattested Ancient Greek word *κίκκος (kíkkos) ""shell of a pomegranate,"" hypothesized by Beekes (2008) on the basis of the Latin word and possible Greek derivatives κίκκαβος (kíkkabos) ""small coin in the Underworld,"" κικκάβι(ο)ν (kikkábi(o)n) ""nothing,"" and κικαῖος (kikaîos), a word of obscure meaning. 
                    Ultimately of unknown origin.
                 
                  Also the origin of the surname Chico.
                 

Indo-European




Romance
Asturian chico, Aragonese chicot, Catalan xic, French chiquet, Italian cica

 
Indo-European

 
Romance
Asturian chico, Aragonese chicot, Catalan xic, French chiquet, Italian cica",12th cent.,Latin,Noun
830,china (1),"china (1)
                  f.
                  
                  (Noun)
                  ""pebble;"" ""doubt""
               
                    Very late 15th cent. The meaning of doubt is a poetic metaphor. Of unknown origin, presumably from a pre-form *cina.
                    
                 
Chin is an apocopated form.
                 

Indo-European




Romance
Asturian china, Portuguese china, Galician china

 
Indo-European

 
Romance
Asturian china, Portuguese china, Galician china",15th cent.,Galician,Noun
831,China (2),"China (2)
                  f.
                  
                  (Noun)
                  ""China""
               
                    Borrowed from Persian čini ""Chinese."" Probably from the name of the Qín dynasty.",No Time Found,Persian,Noun
832,china (3),"china (3)
                  f.
                  
                  (Noun)
                  (slang) ""money""
               
                    From Basque txin ""coins,"" ""clink."" An onomatopoeia from the sound of coins clinking together.",No Time Found,Basque,Noun
833,china (4),"china (4)
                  f.
                  
                  (Noun)
                  ""indigenous American woman,"" ""mixed-raced woman""
               
                    16th cent. From Quechua china ""female animal,"" ""servant.""",16th cent.,Quechua,Noun
834,chingar,"chingar
                  
                  
                  (Verb)
                  (obscene) ""to fuck;"" (Latin America) ""to fail,"" ""to miscarry""
               
                    19th cent. From Romany chingarár ""to fight."" Corominas (1991) is skeptical the Latin American senses of failure derive from the same Romany word, and instead speculates a source in an unknown New World language or languages.
                     Chingar is probably from Proto-Indo-European *gwhen- ""to strike"" but the exact route is uncertain.",19th cent.,Latin,Verb
835,"chita (1), chito (1)","chita (1), chito (1)
                  
                  
                  (Noun)
                  ""wooden stake (used in quoits),"" ""quoits""
               
Chita, very early 17th cent; chito 17th cent. Original name of the game quoits. The origin is uncertain and likely from children slang, although a possible cognate in Galician hints the word may have originally meant ""wooden stake used to mark real property boundaries.""
                    
                 

Indo-European




Romance
Galician chito ""wooden stake used to mark border boundaries""

 
Indo-European

 
Romance
Galician chito ""wooden stake used to mark border boundaries""",17th cent.,Galician,Noun
838,"-dad, -tad","-dad, -tad
                  
                  Suffix used to form abstract nouns from adjectives.
                  
                  
               
                    From Latin -tatem, accusative of -tas 'id.' 
                    From Proto-Italic *-tāts 'id.' From Proto-Indo-European *-teh2ts 'id.'
                 

Indo-European




Romance
Asturian -tá, Portuguese -dade, Galician -dade, Catalan -tat, French té, Italian -ità, Aromanian -tati, Romanian -tate


Hellenic
Ancient Greek -της (tes)


Indo-Iranian
Sanskrit -tāti

 
Indo-European

 
Romance
Asturian -tá, Portuguese -dade, Galician -dade, Catalan -tat, French té, Italian -ità, Aromanian -tati, Romanian -tate
 
Hellenic
Ancient Greek -της (tes)
 
Indo-Iranian
Sanskrit -tāti",No Time Found,Latin,No POS found
839,dama (1),"dama (1)
                  f.
                  
                  (Noun)
                  ""lady""
               
                    13th cent. Borrowed from French dame ""dame."" From Latin domina ""lady (of the house)."" See dueño.
                    
                 

Indo-European




Romance
Portuguese dona, donzela, Galician dona, doncela, Catalan dona, donzella, French dame, demoiselle, Italian donna, dama, Aromanian doamnã, Romanian doamnă, damă, Sardinian dòna

 
Indo-European

 
Romance
Portuguese dona, donzela, Galician dona, doncela, Catalan dona, donzella, French dame, demoiselle, Italian donna, dama, Aromanian doamnã, Romanian doamnă, damă, Sardinian dòna",13th cent.,French,Noun
840,dama (2),"dama (2)
                  f.
                  
                  (Noun)
                  (frontpiece of furnace) ""slab,"" ""wall""
               
                    Borrowed from French dame 'id.' Borrowed from a Germanic source (compare German Damm ""dike,"" Dutch dam ""dam;"" a Gothic form *damma- ""fence"" probably existed as well).
                    From Proto-Germanic *damma ""partition,"" ""fence."" Of unknown origin. Probably borrowed from a non-Indo-European language.",No Time Found,French,Noun
841,dañar,"dañar
                  
                  
                  (Verb)
                  ""to harm""
               
                    13th cent. From Latin damnare 'id.,' from the noun damnum (see daño).
                    
                 

Indo-European




Romance
Asturian dañar, Portuguese danar, Galician danar, French damner, Italian dannare, Romanian damna, dăuna

 
Indo-European

 
Romance
Asturian dañar, Portuguese danar, Galician danar, French damner, Italian dannare, Romanian damna, dăuna",13th cent.,Latin,Verb
